referenceId,category,sourceOrder,expectedFilename,localPath,suppliedFilename,authorizationConfirmed,status,width,height,sha256,perceptualHash,reviewReason
"food-001","food","1","food-001.[original-extension]","public/images/originals/food/","370607831.jpg","true","imported","1261","1009","74d328664e8c628c3445011e42bb151a43ef8d96ee0cb729b855826f11b7e11a","0b68d6ddf5fc7197",""
"food-002","food","2","food-002.[original-extension]","public/images/originals/food/","370606494.jpg","true","imported","1202","910","ffe15d1a452ffefb1ff067c592b93f65fa37b2082162cbaf5530e76bf8e7f715","7bc10c5d5b2b7ffc",""
"food-003","food","3","food-003.[original-extension]","public/images/originals/food/","370605923.jpg","true","imported","1448","1086","904592b9a2e2004171565a95a6ec0f505337fa80afce64776700552b7af91242","c1183373530b8fc1",""
"food-004","food","4","food-004.[original-extension]","public/images/originals/food/","370605567.jpg","true","imported","1303","977","398de0dc4fce7b706296ded538792f5f5e78bde25ba4ee224daf236a3230629f","bb1d37737d3f93c3",""
"food-005","food","5","food-005.[original-extension]","public/images/originals/food/","370605360.jpg","true","imported","1303","977","333731cae3d28ba33f1f631117d197823a409fe1dd6579bf3817591942de67de","c78939694f6c2b89",""
"food-006","food","6","food-006.[original-extension]","public/images/originals/food/","370604673.jpg","true","imported","1303","977","35f5e984421254fc6189d23e48853ca5040c635e65511e66a3bf035350b4d623","374494b1b9a3e433",""
"food-007","food","7","food-007.[original-extension]","public/images/originals/food/","370599369.jpg","true","imported","770","530","d18b2079dbb2c2c1916d86fcb6e535464eb52176d1af16ebefaacde8efcf7ac5","1c6e1339ade97ffc",""
"food-008","food","8","food-008.[original-extension]","public/images/originals/food/","368294165.jpg","true","imported","288","276","d68c1831a395f7b58f7aba736b11cb9fd1c220d0ad96168ebe3d38b6d5a5028b","71cc9eaab2aeec71","Included but flagged for review: tiny"
"food-009","food","9","food-009.[original-extension]","public/images/originals/food/","368291340.jpg","true","imported","756","494","9ac17e4cbd844ea293ff4122ebcf3579f057f9e765099d31d697e3c51725a178","70b2771323a6ccb8",""
"food-010","food","10","food-010.[original-extension]","public/images/originals/food/","121383978.jpg","true","imported","320","320","87d8f501ccecbfddcdc2309df35b513a0354a9dc7b8c2588be51180018015b42","361f1d1496971e7c","Included but flagged for review: tiny"
"food-011","food","11","food-011.[original-extension]","public/images/originals/food/","121383743.jpg","true","imported","320","320","c4fcee45be2abc48ff2872eb4f448aed8e021022ce98f34acd7017eb8608c660","8fca1bb16d880047","Included but flagged for review: tiny"
"food-012","food","12","food-012.[original-extension]","public/images/originals/food/","99733841.jpg","true","imported","660","370","5ed6be887c98831d7d9e692cba94f7c29974a815469620457ad379fcab374eba","1f0f6e5edc9dc7c2","Included but flagged for review: tiny"
"food-013","food","13","food-013.[original-extension]","public/images/originals/food/","99733839.jpg","true","imported","660","370","2ef0e8da826aa37cc3f50355424fdf070775a8224f44dd8551d28df1a00b0de2","191b6b8eda619335","Included but flagged for review: tiny"
"food-014","food","14","food-014.[original-extension]","public/images/originals/food/","99733838.jpg","true","imported","660","370","b72474df2fbfcbaff8c0391dbfbfe0525710fc6eaa31d8e031e334209b627901","ed7cfe8519b3eeda","Included but flagged for review: tiny"
"food-015","food","15","food-015.[original-extension]","public/images/originals/food/","99733835.jpg","true","imported","660","370","b956fa2fec5fef0b694f039cd0b0851ea0fd830e51e8f1ce19e2d9250f001f42","0f1f737694b5c7d2","Included but flagged for review: tiny"
